City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
143,Nambucca Heads,AU,-30.65,153.0,80.6,69,15,2.35,few clouds
144,Pochutla,MX,15.7432,-96.4661,86.83,66,63,6.2,broken clouds
145,Goalpara,IN,26.1667,90.6167,57.67,62,78,3.02,broken clouds
146,Beira,MZ,-19.8436,34.8389,78.89,78,40,11.5,scattered clouds
147,Saint-Philippe,RE,-21.3585,55.7679,76.59,89,91,13.29,light rain
148,Mareeba,AU,-17.0,145.4333,74.12,86,60,1.97,broken clouds
149,Verkh-Usugli,RU,52.7,115.1667,-24.18,95,15,2.1,few clouds
150,Severo-Yeniseyskiy,RU,60.3725,93.0408,-16.83,91,100,2.62,overcast clouds
151,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,73,0,23.02,clear sky
152,Acapulco,MX,16.8634,-99.8901,85.82,70,75,8.05,broken clouds
153,Kirakira,SB,-10.4544,161.9205,83.19,82,86,5.95,overcast clouds
154,Mokhsogollokh,RU,61.4681,128.9203,-51.99,99,75,0.38,broken clouds
155,Vilyuysk,RU,63.7553,121.6247,-53.12,99,85,0.51,overcast clouds
156,Aguie,NE,13.506,7.7786,64.8,22,21,11.88,few clouds
157,Wharton,US,29.3116,-96.1027,65.08,49,1,0.0,clear sky
158,Ahuimanu,US,21.4447,-157.8378,76.71,74,75,8.01,moderate rain
159,Gamba,GA,-2.65,10.0,78.31,91,100,5.5,overcast clouds
160,Burnie,AU,-41.0667,145.9167,56.95,62,84,11.59,broken clouds
161,San Alberto,CO,7.7611,-73.3922,85.1,75,100,1.48,overcast clouds
162,Akyab,MM,20.15,92.9,64.8,72,54,6.26,broken clouds
163,Dunedin,NZ,-45.8742,170.5036,62.98,61,17,1.99,few clouds
164,Genhe,CN,50.7833,121.5167,-27.35,99,16,0.74,few clouds
165,Zaltan,LY,32.947,11.8665,54.93,53,1,4.7,clear sky
166,Carutapera,BR,-1.195,-46.02,81.48,73,100,11.34,overcast clouds
167,Victoria Point,AU,-27.5833,153.3,80.29,71,16,3.0,few clouds
168,Cherskiy,RU,68.75,161.3,-17.99,98,100,9.73,overcast clouds
169,Vostok,RU,46.4856,135.8833,-13.63,99,100,3.11,overcast clouds
170,Bossier City,US,32.516,-93.7321,57.69,42,1,5.75,clear sky
171,Dikson,RU,73.5069,80.5464,-24.23,92,96,15.43,overcast clouds
172,Soyo,AO,-6.1349,12.3689,78.37,90,94,9.84,overcast clouds
173,Ndende,GA,-2.4008,11.3581,77.23,87,90,2.26,overcast clouds
174,Avarua,CK,-21.2078,-159.775,80.65,69,75,13.8,broken clouds
175,Lumeje,AO,-11.55,20.7833,67.68,95,100,2.51,moderate rain
176,Nanyamba,TZ,-10.6833,39.8333,69.15,96,4,1.39,clear sky
177,Pitimbu,BR,-7.4706,-34.8086,82.99,74,92,8.19,overcast clouds
178,Bandarbeyla,SO,9.4942,50.8122,77.68,68,92,14.85,overcast clouds
179,Khandyga,RU,62.6667,135.6,-38.96,94,100,0.74,overcast clouds
180,Hervey Bay,AU,-25.2986,152.8535,77.11,81,4,4.0,clear sky
181,Chapleau,CA,47.8405,-83.4034,15.06,93,100,7.56,light snow
182,Severo-Kurilsk,RU,50.6789,156.125,22.42,73,8,13.62,clear sky
183,Batagay-Alyta,RU,67.8006,130.4114,-21.86,93,100,1.5,overcast clouds
184,Suntar,RU,62.1444,117.6319,-47.4,99,83,2.04,broken clouds
185,Talnakh,RU,69.4865,88.3972,-22.36,87,66,9.42,broken clouds
186,Polyanka,UA,50.2584,27.6881,19.18,89,100,13.96,light snow
187,Kargil,IN,34.5667,76.1,1.33,87,45,2.77,scattered clouds
188,Namibe,AO,-15.1961,12.1522,70.48,71,80,9.53,broken clouds
189,Atbasar,KZ,51.8,68.3333,22.62,89,100,11.59,overcast clouds
190,Oussouye,SN,12.485,-16.5469,78.89,25,97,13.31,overcast clouds
191,Boa Vista,BR,2.8197,-60.6733,89.58,55,75,6.91,broken clouds
192,Jamestown,US,42.097,-79.2353,39.02,67,1,4.0,clear sky
193,Hofn,IS,64.2539,-15.2082,31.77,67,40,8.59,scattered clouds
194,Garmsar,IR,35.2182,52.3409,48.16,39,0,10.89,clear sky
195,Tautira,PF,-17.7333,-149.15,86.02,77,95,16.24,light rain
196,Pokhara,NP,28.2333,83.9833,50.16,31,5,6.15,clear sky
197,Broken Hill,AU,-31.95,141.4333,68.9,41,58,19.24,broken clouds
