City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,Gizo,SB,83.5,overcast clouds,-8.103,156.8419,Imagination Island
126,Faanui,PF,80.2,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
128,Finschhafen,PG,80.6,scattered clouds,-6.6024,147.8681,Cossam Guest House
129,Saint-Joseph,RE,75.58,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
131,Georgetown,MY,77.9,scattered clouds,5.4112,100.3354,Cititel Penang
132,Benguela,AO,75.65,scattered clouds,-12.5763,13.4055,Hotel Praia Morena
136,Poum,NC,79.88,clear sky,-20.2333,164.0167,Gîte kajeon
138,Yulara,AU,80.44,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
140,Tevaitoa,PF,78.64,moderate rain,-16.7833,-151.5,Hôtel Raiatea Lodge
141,Mineiros,BR,76.5,light rain,-17.5694,-52.5511,Pilões Palace Hotel
143,Nambucca Heads,AU,80.6,few clouds,-30.65,153.0,Marcel Towers Holiday Apartments
144,Pochutla,MX,86.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
146,Beira,MZ,78.89,scattered clouds,-19.8436,34.8389,Beira Terrace Hotel
147,Saint-Philippe,RE,76.59,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
151,Arraial Do Cabo,BR,76.96,clear sky,-22.9661,-42.0278,Pousada Porto Praia
152,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
153,Kirakira,SB,83.19,overcast clouds,-10.4544,161.9205,SanBiz Lodge
158,Ahuimanu,US,76.71,moderate rain,21.4447,-157.8378,Paradise Bay Resort
161,San Alberto,CO,85.1,overcast clouds,7.7611,-73.3922,Hotel San Alberto Plaza
166,Carutapera,BR,81.48,overcast clouds,-1.195,-46.02,Lidera
167,Victoria Point,AU,80.29,few clouds,-27.5833,153.3,Bay Retreat Motel
172,Soyo,AO,78.37,overcast clouds,-6.1349,12.3689,Hotel Mpampa
174,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Paradise Inn
177,Pitimbu,BR,82.99,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
178,Bandarbeyla,SO,77.68,overcast clouds,9.4942,50.8122,JABIR HOTEL
180,Hervey Bay,AU,77.11,clear sky,-25.2986,152.8535,Shelly Bay Resort
190,Oussouye,SN,78.89,overcast clouds,12.485,-16.5469,Auberge du Routard
191,Boa Vista,BR,89.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
195,Tautira,PF,86.02,light rain,-17.7333,-149.15,Pension Oaoa
198,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
202,Alofi,NU,82.29,broken clouds,-19.0595,-169.9187,Taloa Heights
204,Bambous Virieux,MU,79.05,broken clouds,-20.3428,57.7575,Casa Tia Villa
215,Kavieng,PG,82.54,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
228,Yambio,SS,75.34,overcast clouds,4.5721,28.3955,Naivasha Hotel
232,Cravo Norte,CO,88.03,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
233,Aden,YE,77.43,few clouds,12.7794,45.0367,Sama Emirate Hotel
236,Oranjestad,AW,82.9,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
237,Gurupi,BR,78.94,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
241,Nsukka,NG,77.72,few clouds,6.8561,7.3927,Golden Eve Hotel
243,Dangriga,BZ,80.56,few clouds,16.9692,-88.2321,Chaleanor Hotel
244,Inirida,CO,80.98,light rain,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
259,Cidreira,BR,75.92,overcast clouds,-30.1811,-50.2056,Hotel Castelo
261,Piacabucu,BR,80.47,broken clouds,-10.4056,-36.4344,Piaçabuçu News
263,Gigmoto,PH,77.95,overcast clouds,13.7796,124.39,Cj's Travellers Inn
265,Lazaro Cardenas,MX,83.46,few clouds,17.9583,-102.2,quinta antigua
266,Cartagena Del Chaira,CO,88.74,overcast clouds,1.3349,-74.8429,HOTEL LA ROCA
268,Labuhan,ID,77.31,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
269,Carauari,BR,78.3,overcast clouds,-4.8828,-66.8958,Hotel Fellip
270,Fomboni,KM,81.95,clear sky,-12.28,43.7425,Auberge les abou
271,Cabo San Lucas,MX,82.62,clear sky,22.8909,-109.9124,Hotel Tesoro Los Cabos
273,Dicabisagan,PH,76.23,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
275,Bien Hoa,VN,76.98,overcast clouds,10.95,106.8167,OYO 991 Duy Anh Hotel
277,Karratha,AU,82.18,broken clouds,-20.7377,116.8463,ibis Styles Karratha
283,Samana,DO,82.62,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
288,Bull Savanna,JM,79.61,overcast clouds,17.8868,-77.5902,Big Red's
292,Stabat,ID,75.4,overcast clouds,3.761,98.4513,Link VII damai
293,Port Macquarie,AU,80.89,overcast clouds,-31.4333,152.9167,Rydges Port Macquarie
294,Sola,VU,81.27,few clouds,-13.8833,167.55,Leumerus Bungalows
295,Iranduba,BR,80.89,overcast clouds,-3.2847,-60.1861,Evolução Ecolodge
299,Ugoofaaru,MV,80.74,overcast clouds,5.6667,73.0,Ungoofaaru Inn
302,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
308,Biak,ID,76.33,overcast clouds,-0.9131,122.8766,Penginapan Kim
311,Codajas,BR,81.37,moderate rain,-3.8367,-62.0569,Atlântic Hotel
317,San Andres,CO,80.62,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
325,Vao,NC,76.1,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
330,Cururupu,BR,80.31,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
331,Mayumba,GA,78.22,light rain,-3.432,10.6554,LIKWALE LODGE
334,Limbang,MY,77.31,overcast clouds,4.75,115.0,Purnama Hotel
339,Bosaso,SO,76.73,overcast clouds,11.2842,49.1816,Red Sea Hotel
353,Oistins,BB,80.69,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
365,Maracai,BR,87.4,clear sky,-22.6106,-50.6672,Hotel Maracai Pousada
368,Guadalupe,MX,80.4,few clouds,25.6833,-100.25,Fiesta Inn Monterrey Fundidora
370,Banda Aceh,ID,75.97,scattered clouds,5.5577,95.3222,Sulthan Hotel International
372,Tanete,ID,77.31,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
374,Necochea,AR,80.04,broken clouds,-38.5473,-58.7368,dyd -mar Hotel
